,Contract ID,Bid Rank,Vendor ID,PercentOfEstimates,ParticipantsCount,Unnamed: 8
888,MM4024,7,696A,1.024214,9,
889,MM4024,8,276A,1.169315,9,
890,MM4024,9,854A,1.387988,9,
892,C13805,1,697A,1.098628,5,
893,C13805,2,720A,1.414141,5,
894,C13805,3,1025A,1.457174,5,
895,C13805,4,1277A,1.469158,5,
896,C13805,5,450A,2.219998,5,
898,C14305,1,505A,0.838408,5,
899,C14305,2,017A,0.881595,5,
900,C14305,3,159C,0.964122,5,
901,C14305,4,163A,0.973954,5,
902,C14305,5,091A,1.186299,5,
904,M6023,1,1042A,1.091955,7,
905,M6023,2,1131A,1.328329,7,
906,M6023,3,447A,1.411331,7,
907,M6023,4,009A,1.433031,7,
908,M6023,5,503F,1.648159,7,
909,M6023,6,674A,1.688385,7,
910,M6023,7,1230A,1.809575,7,
912,MM1022,1,982A,0.733705,8,
913,MM1022,2,1277A,0.765855,8,
914,MM1022,3,1131A,0.791579,8,
915,MM1022,4,2003A,0.793651,8,
916,MM1022,5,997A,0.807363,8,
917,MM1022,6,655A,0.83442,8,
918,MM1022,7,162A,0.841663,8,
919,MM1022,8,060A,0.946177,8,
921,C12021,1,163A,0.854002,6,
922,C12021,2,032A,0.873979,6,
923,C12021,3,017A,0.931308,6,
924,C12021,4,159C,1.024193,6,
925,C12021,5,028B,1.114646,6,
926,C12021,6,924A,1.237656,6,
928,MM5022,1,503F,0.921974,3,
929,MM5022,2,802A,1.124601,3,
930,MM5022,3,748A,1.149448,3,
932,C14203,1,505A,0.887586,5,
933,C14203,2,160A,0.909334,5,
934,C14203,3,163A,0.918481,5,
935,C14203,4,005A,0.954185,5,
936,C14203,5,159C,1.045328,5,
938,MM3012,1,1135A,0.612774,6,
939,MM3012,2,1230A,0.667608,6,
940,MM3012,3,1320A,0.771284,6,
941,MM3012,4,1109A,0.833071,6,
942,MM3012,5,1325A,1.0,6,
943,MM3012,6,447A,1.052984,6,
945,C14235,1,032A,0.906514,6,
946,C14235,2,159C,0.938608,6,
947,C14235,3,017A,0.942998,6,
948,C14235,4,163A,0.949438,6,
949,C14235,5,924A,0.999489,6,
950,C14235,6,028B,1.054896,6,
952,C14217,1,091A,1.02378,4,
953,C14217,2,547A,1.045663,4,
954,C14217,3,005A,1.20614,4,
955,C14217,4,163A,1.221739,4,
957,C13983,1,697A,0.92453,4,
958,C13983,2,1098A,0.979098,4,
959,C13983,3,1231A,1.018915,4,
960,C13983,4,1025A,1.077141,4,
962,C14274,1,701A,0.963316,6,
963,C14274,2,585A,0.988315,6,
964,C14274,3,159C,1.037102,6,
965,C14274,4,163A,1.089204,6,
966,C14274,5,668A,1.10273,6,
967,C14274,6,1011A,1.107063,6,
969,C13547,1,160A,1.098364,6,
970,C13547,2,903A,1.187913,6,
971,C13547,3,284A,1.196071,6,
972,C13547,4,968A,1.224762,6,
973,C13547,5,169A,1.327571,6,
974,C13547,6,1011A,1.387285,6,
976,C14218,1,091A,1.004477,2,
977,C14218,2,547A,1.013235,2,
979,C14219,1,110E,1.049401,3,
980,C14219,2,939A,1.17399,3,
981,C14219,3,621A,1.248419,3,
983,MM3013,1,435A,0.782009,4,
984,MM3013,2,1040A,0.872841,4,
985,MM3013,3,232A,0.961099,4,
986,MM3013,4,164A,1.080184,4,
988,MM6024,1,595A,0.922567,3,
989,MM6024,2,060A,0.933174,3,
990,MM6024,3,162A,0.941781,3,
992,C13998,1,505A,0.832395,3,
993,C13998,2,005A,0.864452,3,
994,C13998,3,163A,0.891446,3,
996,C13869,1,674A,0.869956,7,
997,C13869,2,284A,0.94692,7,
998,C13869,3,976A,0.978324,7,
999,C13869,4,1058A,0.998175,7,
1000,C13869,5,476A,1.004025,7,
1001,C13869,6,1011A,1.012665,7,
1002,C13869,7,767A,1.052289,7,
1004,C12395,1,169A,1.229684,3,
1005,C12395,2,903A,1.278866,3,
1006,C12395,3,968A,1.523694,3,
1008,C14082,1,868A,0.728545,5,
1009,C14082,2,1095A,0.951758,5,
1010,C14082,3,1272A,0.968579,5,
1011,C14082,4,720A,0.994474,5,
1012,C14082,5,697A,1.072675,5,
1014,C14320,1,807A,1.242249,1,
1016,C14353,1,1011A,1.510529,4,
1017,C14353,2,159C,1.547444,4,
1018,C14353,3,028B,1.67221,4,
1019,C14353,4,163A,1.721381,4,
1021,MM6022,1,1050A,0.802443,4,
1022,MM6022,2,1230A,1.266117,4,
1023,MM6022,3,447A,1.341971,4,
1024,MM6022,4,1042A,1.409423,4,
1026,MM7005,1,697A,0.760734,5,
1027,MM7005,2,1267A,1.121568,5,
1028,MM7005,3,720A,1.202746,5,
1029,MM7005,4,1272A,1.426546,5,
1030,MM7005,5,1235A,1.475091,5,
1032,C13218,1,159C,1.045205,3,
1033,C13218,2,941A,1.936829,3,
1034,C13218,3,793A,2.03022,3,
1036,MM7006,1,1153A,0.815686,4,
1037,MM7006,2,174A,1.106288,4,
1038,MM7006,3,1021A,1.160247,4,
1039,MM7006,4,159C,1.349118,4,
1041,MM6027,1,S1975,0.616193,5,
1042,MM6027,2,1131A,0.811937,5,
1043,MM6027,3,997A,0.946788,5,
1044,MM6027,4,1277A,0.979059,5,
1045,MM6027,5,060A,1.031468,5,
1047,C14353R,1,1011A,1.053665,2,
1048,C14353R,2,159C,1.089167,2,
1050,MM1026,1,159C,1.053491,3,
1051,MM1026,2,748A,1.239694,3,
1052,MM1026,3,163A,1.324668,3,
1054,C14014,1,692A,1.030408,7,
1055,C14014,2,164A,1.043441,7,
1056,C14014,3,232A,1.134714,7,
1057,C14014,4,924A,1.218587,7,
1058,C14014,5,696A,1.26701,7,
1059,C14014,6,276A,1.362266,7,
1060,C14014,7,084A,2.031816,7,
1062,MM6029,1,163A,1.008064,2,
1063,MM6029,2,017A,1.039401,2,
1065,C14439,1,505A,1.065988,6,
1066,C14439,2,005A,1.122054,6,
1067,C14439,3,174A,1.185605,6,
1068,C14439,4,163A,1.205121,6,
1069,C14439,5,381A,1.229352,6,
1070,C14439,6,091A,1.270621,6,
1072,C14236,1,032A,0.967631,5,
1073,C14236,2,159C,1.162361,5,
1074,C14236,3,924A,1.173177,5,
1075,C14236,4,028B,1.178384,5,
1076,C14236,5,017A,1.227165,5,
1078,C13919,1,053D,1.239873,5,
1079,C13919,2,1040A,1.339864,5,
1080,C13919,3,169A,1.428989,5,
1081,C13919,4,164A,1.437134,5,
1082,C13919,5,232A,1.517504,5,
1084,C14210,1,668A,0.953128,4,
1085,C14210,2,159C,1.094432,4,
1086,C14210,3,701A,1.156676,4,
1087,C14210,4,163A,1.272636,4,
1089,C13941R,1,1116A,1.321836,3,
1090,C13941R,2,1273A,1.471293,3,
1091,C13941R,3,793A,1.588817,3,
1093,MM5024,1,1249A,1.230655,2,
1094,MM5024,2,005A,1.298264,2,
1096,MM1030,1,766C,1.094736,3,
1097,MM1030,2,118A,1.122115,3,
1098,MM1030,3,005A,1.340391,3,
1100,C12606,1,884A,0.888414,5,
1101,C12606,2,284A,0.921231,5,
1102,C12606,3,084A,0.944317,5,
1103,C12606,4,373A,0.979541,5,
1104,C12606,5,053D,1.051193,5,
1106,C13333,1,547A,1.202983,2,
1107,C13333,2,091A,1.294221,2,
1109,MM6034,1,595A,0.798975,3,
1110,MM6034,2,162A,0.835252,3,
1111,MM6034,3,060A,0.855774,3,
1113,C14145,1,090A,0.807902,8,
1114,C14145,2,1361A,0.817236,8,
1115,C14145,3,692A,0.854285,8,
1116,C14145,4,870A,0.857208,8,
1117,C14145,5,232A,0.967119,8,
1118,C14145,6,924A,0.982329,8,
1119,C14145,7,276A,0.990337,8,
1120,C14145,8,1011A,1.065616,8,
1122,MM6035,1,060A,0.812318,3,
1123,MM6035,2,982A,0.870595,3,
1124,MM6035,3,997A,1.109786,3,
1126,MM4043,1,163A,1.096242,3,
1127,MM4043,2,028B,1.301005,3,
1128,MM4043,3,174A,1.402808,3,
1130,MM4042,1,163A,0.913879,3,
1131,MM4042,2,028B,0.933297,3,
1132,MM4042,3,924A,0.985157,3,
1134,MM1027,1,1235A,0.640289,7,
1135,MM1027,2,720A,0.646967,7,
1136,MM1027,3,697A,0.720039,7,
1137,MM1027,4,1095A,0.799558,7,
1138,MM1027,5,1200A,0.810482,7,
1139,MM1027,6,2002A,0.885164,7,
1140,MM1027,7,1272A,0.937861,7,
1142,C13553,1,1275A,0.883859,5,
1143,C13553,2,924A,0.88546,5,
1144,C13553,3,090A,0.963407,5,
1145,C13553,4,854A,0.963738,5,
1146,C13553,5,692A,0.996453,5,
1148,C12803,1,547C,1.042872,3,
1149,C12803,2,245B,1.046105,3,
1150,C12803,3,005A,1.203238,3,
1152,C14241,1,924A,0.904633,8,
1153,C14241,2,S2881,0.919995,8,
1154,C14241,3,1275A,0.952594,8,
1155,C14241,4,032A,0.966126,8,
1156,C14241,5,017A,0.979,8,
1157,C14241,6,028B,1.007326,8,
1158,C14241,7,163A,1.074699,8,
1159,C14241,8,159C,1.291196,8,
1161,MM6040,1,064A,0.695149,7,
1162,MM6040,2,1381A,0.787246,7,
1163,MM6040,3,1235A,0.94869,7,
1164,MM6040,4,697A,1.021186,7,
1165,MM6040,5,1272A,1.033559,7,
1166,MM6040,6,1098A,1.046258,7,
1167,MM6040,7,1095A,1.342967,7,
1169,C14426,1,005A,0.979483,4,
1170,C14426,2,505A,1.116191,4,
1171,C14426,3,163A,1.156033,4,
1172,C14426,4,1089A,1.293037,4,
1174,MM1032,1,060A,0.826515,5,
1175,MM1032,2,595A,0.988872,5,
1176,MM1032,3,S1975,1.297243,5,
1177,MM1032,4,982A,1.48387,5,
1178,MM1032,5,162A,1.977371,5,
1180,MM1035,1,060A,0.843929,3,
1181,MM1035,2,982A,0.955149,3,
1182,MM1035,3,595A,0.967347,3,
1184,C14775,1,807A,1.288599,3,
1185,C14775,2,005A,1.356413,3,
1186,C14775,3,547A,1.406338,3,
1188,C14774,1,1068A,0.873102,6,
1189,C14774,2,692A,1.016301,6,
1190,C14774,3,822B,1.054614,6,
1191,C14774,4,1380A,1.100522,6,
1192,C14774,5,503F,1.168615,6,
1193,C14774,6,940A,1.289232,6,
1195,C14146,1,505A,0.851396,5,
1196,C14146,2,163A,0.8646,5,
1197,C14146,3,160A,0.885347,5,
1198,C14146,4,005A,0.905336,5,
1199,C14146,5,159C,1.044584,5,
1201,C14311,1,360A,0.829664,6,
1202,C14311,2,174A,0.868153,6,
1203,C14311,3,503F,0.903721,6,
1204,C14311,4,903A,0.917007,6,
1205,C14311,5,276A,1.028681,6,
1206,C14311,6,1011A,1.13169,6,
1208,MM2015,1,595A,1.073028,3,
1209,MM2015,2,060A,1.105771,3,
1210,MM2015,3,982A,1.134089,3,
1212,C14691,1,163A,1.024011,6,
1213,C14691,2,174A,1.036181,6,
1214,C14691,3,005A,1.088724,6,
1215,C14691,4,505A,1.105363,6,
1216,C14691,5,1084A,1.176766,6,
1217,C14691,6,159C,1.228889,6,
1219,C13818,1,163A,0.939318,4,
1220,C13818,2,505A,1.041987,4,
1221,C13818,3,005A,1.122603,4,
1222,C13818,4,159C,1.278511,4,
1224,C14528,1,924A,0.94968,6,
1225,C14528,2,163A,1.031843,6,
1226,C14528,3,017A,1.067684,6,
1227,C14528,4,032A,1.092203,6,
1228,C14528,5,159C,1.21386,6,
1229,C14528,6,071A,1.221566,6,
1231,C12022,1,163A,0.908693,6,
1232,C12022,2,032A,0.929369,6,
1233,C12022,3,017A,0.956811,6,
1234,C12022,4,028B,0.981822,6,
1235,C12022,5,159C,1.101834,6,
1236,C12022,6,924A,1.329009,6,
1238,C14706,1,163A,1.003353,5,
1239,C14706,2,071A,1.178551,5,
1240,C14706,3,505A,1.229996,5,
1241,C14706,4,159C,1.260668,5,
1242,C14706,5,174A,1.334334,5,
1244,C14744R,1,060A,1.075103,3,
1245,C14744R,2,982A,1.157804,3,
1246,C14744R,3,162A,1.237107,3,
1248,C14733,1,697A,1.293932,3,
1249,C14733,2,178A,1.360083,3,
1250,C14733,3,1095A,1.577432,3,
1252,MM1039,1,903A,0.557155,4,
1253,MM1039,2,2007A,0.624048,4,
1254,MM1039,3,692A,0.659832,4,
1255,MM1039,4,1068A,1.002512,4,
1257,C14135,1,032A,0.870532,9,
1258,C14135,2,692A,0.892202,9,
1259,C14135,3,S2881,0.921987,9,
1260,C14135,4,1275A,0.936768,9,
1261,C14135,5,S4325,1.024482,9,
1262,C14135,6,1011A,1.092401,9,
1263,C14135,7,1282A,1.120761,9,
1264,C14135,8,065A,1.220489,9,
1265,C14135,9,159C,1.353375,9,
1267,C14736,1,1231A,0.815683,7,
1268,C14736,2,1235A,0.831207,7,
1269,C14736,3,697A,0.977572,7,
1270,C14736,4,720A,1.115445,7,
1271,C14736,5,1098A,1.181966,7,
1272,C14736,6,1095A,1.228848,7,
1273,C14736,7,1224T,1.293628,7,
1275,C14714,1,977A,1.041063,3,
1276,C14714,2,159C,1.170156,3,
1277,C14714,3,1095A,1.25664,3,
1279,C13885B,1,065A,0.957558,2,
1280,C13885B,2,1275A,1.157364,2,
1282,C13898,1,870A,0.970172,6,
1283,C13898,2,090A,0.985927,6,
1284,C13898,3,1275A,0.986292,6,
1285,C13898,4,692A,1.014397,6,
1286,C13898,5,1407A,1.031088,6,
1287,C13898,6,865A,1.499472,6,
1289,MM2017,1,1200A,0.542884,7,
1290,MM2017,2,1095A,0.710384,7,
1291,MM2017,3,1098A,0.72861,7,
1292,MM2017,4,868A,0.729257,7,
1293,MM2017,5,1272A,0.830238,7,
1294,MM2017,6,720A,0.897291,7,
1295,MM2017,7,178A,1.04391,7,
1297,MM2018,1,060A,0.942311,4,
1298,MM2018,2,162A,0.970397,4,
1299,MM2018,3,982A,0.975918,4,
1300,MM2018,4,595A,0.996407,4,
1302,C12966,1,160A,0.963649,7,
1303,C12966,2,547A,0.9779,7,
1304,C12966,3,084A,1.025001,7,
1305,C12966,4,174A,1.06137,7,
1306,C12966,5,232A,1.071296,7,
1307,C12966,6,284A,1.108324,7,
1308,C12966,7,005A,1.130344,7,
1310,C14549,1,668A,1.121681,4,
1311,C14549,2,1275A,1.123904,4,
1312,C14549,3,159C,1.21639,4,
1313,C14549,4,163A,1.346538,4,
1315,C13568,1,870A,1.114103,6,
1316,C13568,2,090A,1.116539,6,
1317,C13568,3,1275A,1.133886,6,
1318,C13568,4,174A,1.162938,6,
1319,C13568,5,924A,1.16739,6,
1320,C13568,6,692A,1.215963,6,
1322,C14948,1,1040A,1.373797,4,
1323,C14948,2,696A,1.487346,4,
1324,C14948,3,276A,1.558758,4,
1325,C14948,4,065A,1.726052,4,
1327,C14512,1,720A,0.818355,2,
1328,C14512,2,1098A,0.942737,2,
1330,MM4048R,1,060A,0.770184,4,
1331,MM4048R,2,162A,0.826761,4,
1332,MM4048R,3,982A,0.881261,4,
1333,MM4048R,4,595A,1.338385,4,
1335,C14954,1,908A,1.209446,5,
1336,C14954,2,697A,1.330998,5,
1337,C14954,3,1095A,1.341523,5,
1338,C14954,4,720A,1.397553,5,
1339,C14954,5,064A,1.691411,5,
1341,MM4055,1,982A,0.796216,4,
1342,MM4055,2,060A,0.861874,4,
1343,MM4055,3,162A,0.94505,4,
1344,MM4055,4,595A,1.043356,4,
1346,MM4054,1,162A,0.729068,4,
1347,MM4054,2,982A,0.763477,4,
1348,MM4054,3,060A,0.880186,4,
1349,MM4054,4,595A,0.904419,4,
1351,M5034R,1,547C,0.996728,4,
1352,M5034R,2,002A,1.167988,4,
1353,M5034R,3,621A,1.251042,4,
1354,M5034R,4,110E,1.343367,4,
1356,C13855,1,017A,0.901866,3,
1357,C13855,2,163A,1.083746,3,
1358,C13855,3,924A,1.188223,3,
1360,C14953,1,503F,1.104571,3,
1361,C14953,2,1011A,1.330284,3,
1362,C14953,3,1224T,1.348367,3,
1364,MM6051,1,503F,1.619613,3,
1365,MM6051,2,1224T,1.631411,3,
1366,MM6051,3,692A,1.873331,3,
1368,C14914,1,547A,1.041117,5,
1369,C14914,2,005A,1.146979,5,
1370,C14914,3,091A,1.165977,5,
1371,C14914,4,159C,1.175217,5,
1372,C14914,5,505A,1.190995,5,
1374,MM5036,1,S3270,1.233773,4,
1375,MM5036,2,162A,1.253279,4,
1376,MM5036,3,595A,1.297942,4,
1377,MM5036,4,060A,1.417006,4,
1379,MM3021,1,595A,0.952337,3,
1380,MM3021,2,060A,1.061407,3,
1381,MM3021,3,162A,1.234055,3,
1383,MM1044,1,162A,0.965532,3,
1384,MM1044,2,595A,1.117244,3,
1385,MM1044,3,060A,1.209109,3,
1387,MM6053,1,1131A,1.044501,3,
1388,MM6053,2,S1975,1.31618,3,
1389,MM6053,3,060A,1.451836,3,
1391,C14698,1,163A,0.98379,5,
1392,C14698,2,257A,0.994755,5,
1393,C14698,3,329A,1.034169,5,
1394,C14698,4,071A,1.107704,5,
1395,C14698,5,005A,1.273998,5,
1397,C14663,1,071A,0.938619,4,
1398,C14663,2,159C,1.100005,4,
1399,C14663,3,017A,1.164362,4,
1400,C14663,4,163A,1.176659,4,
1402,C15039,1,295A,0.843007,6,
1403,C15039,2,505A,0.92496,6,
1404,C15039,3,163A,0.987853,6,
1405,C15039,4,160A,1.031159,6,
1406,C15039,5,159C,1.051034,6,
1407,C15039,6,005A,1.134592,6,
1409,C14636,1,159C,1.223637,4,
1410,C14636,2,032A,1.250376,4,
1411,C14636,3,017A,1.297228,4,
1412,C14636,4,924A,1.418082,4,
1414,C14632,1,028B,0.989504,7,
1415,C14632,2,032A,1.03538,7,
1416,C14632,3,S2881,1.037454,7,
1417,C14632,4,924A,1.09154,7,
1418,C14632,5,159C,1.147067,7,
1419,C14632,6,017A,1.158695,7,
1420,C14632,7,163A,1.535736,7,
1422,C14787,1,505A,1.048573,3,
1423,C14787,2,163A,1.067471,3,
1424,C14787,3,005A,1.089805,3,
1426,C14611,1,032A,0.999238,6,
1427,C14611,2,S2881,1.017831,6,
1428,C14611,3,924A,1.054292,6,
1429,C14611,4,159C,1.0958,6,
1430,C14611,5,1275A,1.127729,6,
1431,C14611,6,017A,1.290278,6,
1433,C15035,1,005A,1.163934,3,
1434,C15035,2,547A,1.192724,3,
1435,C15035,3,160A,1.290638,3,
1437,C14621,1,032A,0.954117,7,
1438,C14621,2,017A,0.989867,7,
1439,C14621,3,S2881,1.068104,7,
1440,C14621,4,159C,1.128011,7,
1441,C14621,5,924A,1.178411,7,
1442,C14621,6,028B,1.227559,7,
1443,C14621,7,163A,1.326745,7,
1445,C15030,1,163A,0.928769,6,
1446,C15030,2,766C,0.96395,6,
1447,C15030,3,017A,1.018925,6,
1448,C15030,4,174A,1.020424,6,
1449,C15030,5,005A,1.068923,6,
1450,C15030,6,091A,1.141216,6,
1452,C14303,1,884A,1.299112,4,
1453,C14303,2,924A,1.305309,4,
1454,C14303,3,1282A,1.358828,4,
1455,C14303,4,1275A,1.434433,4,
1457,C15033,1,547A,1.020212,1,
1459,C15053,1,903A,0.982663,5,
1460,C15053,2,1068A,1.227833,5,
1461,C15053,3,276A,1.353378,5,
1462,C15053,4,065A,1.469585,5,
1463,C15053,5,854A,1.701513,5,
1465,C14438,1,360A,0.665964,2,
1466,C14438,2,174A,0.83989,2,
1468,C15027-ALT,1,547A,1.07861,2,
1469,C15027-ALT,2,091A,1.130009,2,
1471,C10463R1,1,870A,0.845147,8,
1472,C10463R1,2,164A,0.87785,8,
1473,C10463R1,3,392G,0.937282,8,
1474,C10463R1,4,099H,0.950527,8,
1475,C10463R1,5,417A,0.988965,8,
1476,C10463R1,6,139A,1.028683,8,
1477,C10463R1,7,169A,1.037903,8,
1478,C10463R1,8,213A,1.321963,8,
1480,C11350,1,163D,1.074658,2,
1481,C11350,2,159C,1.152359,2,
1483,C90023,1,090A,0.974404,2,
1484,C90023,2,150B,1.01015,2,
1486,C10604,1,150B,1.063365,4,
1487,C10604,2,854A,1.078592,4,
1488,C10604,3,090A,1.080277,4,
1489,C10604,4,870A,1.094683,4,
1491,C11327,1,090A,0.992692,4,
1492,C11327,2,150B,1.01557,4,
1493,C11327,3,854A,1.027089,4,
1494,C11327,4,822B,1.048549,4,
1496,C11979,1,163D,0.990361,3,
1497,C11979,2,159C,1.124818,3,
1498,C11979,3,005A,1.244496,3,
1500,C93330,1,790A,0.789351,9,
1501,C93330,2,955A,0.935863,9,
1502,C93330,3,279A,0.949697,9,
1503,C93330,4,1011A,0.973745,9,
1504,C93330,5,821A,1.02381,9,
1505,C93330,6,668A,1.123274,9,
1506,C93330,7,1056A,1.341534,9,
1507,C93330,8,903A,1.39341,9,
1508,C93330,9,977A,1.77614,9,
1510,C11625,1,118A,0.953391,8,
1511,C11625,2,164A,0.993713,8,
1512,C11625,3,213A,1.033197,8,
1513,C11625,4,696A,1.055077,8,
1514,C11625,5,159C,1.084276,8,
1515,C11625,6,903A,1.084331,8,
1516,C11625,7,250A,1.14648,8,
1517,C11625,8,973A,1.162454,8,
1519,C12123,1,807A,0.778908,6,
1520,C12123,2,110E,0.854643,6,
1521,C12123,3,160A,0.972957,6,
1522,C12123,4,201A,1.053204,6,
1523,C12123,5,939A,1.061993,6,
1524,C12123,6,621A,1.16925,6,
1526,C11982,1,017A,1.0234,3,
1527,C11982,2,163F,1.113302,3,
1528,C11982,3,159C,1.393525,3,
1530,C11209,1,017A,0.927803,4,
1531,C11209,2,159C,1.017418,4,
1532,C11209,3,163E,1.089916,4,
1533,C11209,4,028B,1.323258,4,
1535,C11668,1,159C,0.899443,2,
1536,C11668,2,091A,0.934265,2,
1538,C11416,1,870A,0.848541,5,
1539,C11416,2,392G,0.857073,5,
1540,C11416,3,164A,0.861018,5,
1541,C11416,4,884A,0.891977,5,
1542,C11416,5,373A,0.934774,5,
1544,C11502,1,091A,1.046405,2,
1545,C11502,2,159C,1.186519,2,
1547,C11595,1,159C,0.975412,2,
1548,C11595,2,017A,1.146919,2,
1550,C12060,1,505A,0.965262,7,
1551,C12060,2,005A,1.044512,7,
1552,C12060,3,174A,1.068359,7,
1553,C12060,4,091A,1.090868,7,
1554,C12060,5,068A,1.142904,7,
1555,C12060,6,163D,1.153549,7,
1556,C12060,7,159C,1.238395,7,
1558,C12062,1,068A,0.93876,4,
1559,C12062,2,505A,0.946592,4,
1560,C12062,3,005A,1.087748,4,
1561,C12062,4,159C,1.163757,4,
1563,C11977,1,071A,0.86334,3,
1564,C11977,2,028B,0.944326,3,
1565,C11977,3,163D,0.995975,3,
1567,C11980,1,163D,0.998112,3,
1568,C11980,2,159C,1.137222,3,
1569,C11980,3,005A,1.262,3,
1571,C11667,1,159C,0.988184,2,
1572,C11667,2,870A,1.150473,2,
1574,C91168R,1,164A,0.851853,4,
1575,C91168R,2,924A,0.943186,4,
1576,C91168R,3,884A,0.946283,4,
1577,C91168R,4,159C,1.108487,4,
1579,C11594,1,159C,1.015672,3,
1580,C11594,2,017A,1.153214,3,
1581,C11594,3,163E,1.167484,3,
1583,C12063,1,505A,0.813127,6,
1584,C12063,2,005A,0.876947,6,
1585,C12063,3,163D,0.87932,6,
1586,C12063,4,068A,0.897962,6,
1587,C12063,5,174A,1.054637,6,
1588,C12063,6,091A,1.082329,6,
1590,C12135,1,060B,0.761695,3,
1591,C12135,2,595A,0.774012,3,
1592,C12135,3,1032A,0.789416,3,
1594,C12059,1,068A,0.817178,3,
1595,C12059,2,091A,0.846792,3,
1596,C12059,3,547A,1.038874,3,
1598,C12156,1,547A,0.815635,5,
1599,C12156,2,621A,0.969907,5,
1600,C12156,3,939A,0.99257,5,
1601,C12156,4,110E,1.176867,5,
1602,C12156,5,160A,1.335698,5,
1604,C12061,1,110E,0.996809,4,
1605,C12061,2,939A,1.037859,4,
1606,C12061,3,160A,1.06819,4,
1607,C12061,4,621A,1.18911,4,
1609,C11444,1,1032A,0.814673,4,
1610,C11444,2,162A,0.998649,4,
1611,C11444,3,595A,1.004761,4,
1612,C11444,4,060B,1.23854,4,
1614,C12130,1,1050A,0.656034,5,
1615,C12130,2,1059A,1.00688,5,
1616,C12130,3,790A,1.078435,5,
1617,C12130,4,447A,1.180932,5,
1618,C12130,5,009A,1.365266,5,
1620,C11175,1,995A,0.92857,1,
1622,C11822R,1,501A,1.360135,3,
1623,C11822R,2,162A,1.388734,3,
1624,C11822R,3,060C,1.921212,3,
1626,C11924,1,017A,0.850363,2,
1627,C11924,2,159C,1.138344,2,
1629,C11918,1,392G,1.039071,5,
1630,C11918,2,164A,1.080612,5,
1631,C11918,3,870A,1.121179,5,
1632,C11918,4,011A,1.145285,5,
1633,C11918,5,373A,1.1561,5,
1635,C11795R,1,164A,1.115946,4,
1636,C11795R,2,973A,1.133624,4,
1637,C11795R,3,924A,1.155647,4,
1638,C11795R,4,854A,1.169091,4,
1641,C11734,1,767A,1.038473,2,
1642,C11734,2,1060A,1.074984,2,
1644,C11702,1,616A,0.895981,5,
1645,C11702,2,150B,0.916807,5,
1646,C11702,3,854A,0.92291,5,
1647,C11702,4,822B,0.935198,5,
1648,C11702,5,090A,1.046736,5,
1650,C12181,1,201A,0.966732,2,
1651,C12181,2,245B,0.976779,2,
1653,C10700,1,977A,1.195457,4,
1654,C10700,2,160A,1.22218,4,
1655,C10700,3,503F,1.316135,4,
1656,C10700,4,955A,1.349342,4,
1658,C12116,1,163D,0.880431,4,
1659,C12116,2,160A,0.903059,4,
1660,C12116,3,668A,0.937173,4,
1661,C12116,4,701A,0.948482,4,
1663,C11592S,1,159C,1.017648,1,
1665,C12101,1,159C,0.99288,2,
1667,C11932,1,870A,1.207368,4,
1668,C11932,2,164A,1.254489,4,
1669,C11932,3,417A,1.349282,4,
1670,C11932,4,169A,1.418602,4,
1672,C11950,1,417A,1.05903,7,
1673,C11950,2,903A,1.122567,7,
1674,C11950,3,164A,1.154265,7,
1675,C11950,4,562A,1.164059,7,
1676,C11950,5,968A,1.180525,7,
1677,C11950,6,696A,1.221498,7,
1678,C11950,7,250A,1.28412,7,
1680,C11503,1,068A,0.932548,3,
1681,C11503,2,976A,0.974759,3,
1682,C11503,3,767A,0.982658,3,
1684,C11586,1,164A,0.964909,2,
1685,C11586,2,924A,1.042708,2,
1687,C12105R,1,017A,1.037845,4,
1688,C12105R,2,381A,1.122607,4,
1689,C12105R,3,091A,1.204808,4,
1690,C12105R,4,159C,1.274436,4,
1692,C92965R,1,163D,1.035382,2,
1693,C92965R,2,159C,1.063517,2,
1695,C11446,1,279A,0.87681,1,
1697,C12166,1,697A,0.95855,4,
1698,C12166,2,503F,0.9628,4,
1699,C12166,3,1025A,1.137393,4,
1700,C12166,4,720A,1.169606,4,
1702,C12193,1,870A,1.007307,5,
1703,C12193,2,392G,1.072894,5,
1704,C12193,3,159C,1.114994,5,
1705,C12193,4,164A,1.140472,5,
1706,C12193,5,169A,1.229592,5,
1708,C11776,1,720A,1.106063,3,
1709,C11776,2,1025A,1.322751,3,
1710,C11776,3,697A,1.637927,3,
1712,C12071,1,697A,1.004233,2,
1713,C12071,2,1025A,1.222973,2,
1715,C12221,1,162A,1.028211,3,
1716,C12221,2,060B,1.157921,3,
1717,C12221,3,1032A,1.286021,3,
1719,C12104,1,232A,1.01329,3,
1720,C12104,2,897A,1.01992,3,
1721,C12104,3,110E,1.390812,3,
1723,C12055,1,011A,0.83912,6,
1724,C12055,2,099H,0.860138,6,
1725,C12055,3,392G,0.87593,6,
1726,C12055,4,164A,0.934786,6,
1727,C12055,5,870A,0.992168,6,
1728,C12055,6,373A,1.033226,6,
1730,C11211,1,017A,0.838696,1,
1732,C92982,1,164A,1.015545,5,
1733,C92982,2,417A,1.124778,5,
1734,C92982,3,169A,1.130934,5,
1735,C92982,4,884A,1.147646,5,
1736,C92982,5,870A,1.241694,5,
1738,C11389,1,118A,1.0,4,
1739,C11389,2,005A,1.115376,4,
1740,C11389,3,163D,1.123894,4,
